name,measure,measure_info,geo_type_name,geo_place_name,time_period,start_date,unique_id,indicator_id,geo_join_id,data_value
Asthma emergency department visits due to PM2.5,Estimated annual rate (under age 18),"per 100,000 children",UHF42,Williamsburg - Bushwick,2012-2014,1/2/2012,172235,375,404406,165.26
Asthma emergency department visits due to PM2.5,Estimated annual rate (under age 18),"per 100,000 children",UHF42,Bedford Stuyvesant - Crown Heights,2012-2014,1/2/2012,412645,375,404406,164.79
Annual vehicle miles traveled (cars),Million miles,per square mile,CD,Stuyvesant Town and Turtle Bay (CD6),2010,1/1/2010,740987,375,404,164.73
Asthma emergency departments visits due to Ozone,Estimated annual rate (under age 18),"per 100,000 children",UHF42,Pelham - Throgs Neck,2012-2014,1/2/2012,412438,375,104,164.30
Asthma emergency departments visits due to Ozone,Estimated annual rate (under age 18),"per 100,000 children",UHF42,East New York,2009-2011,1/1/2009,176046,375,504,164.00
Asthma emergency departments visits due to Ozone,Estimated annual rate (under age 18),"per 100,000 children",UHF42,East New York,2015-2017,1/1/2015,550106,375,315,163.60
Annual vehicle miles traveled (cars),Million miles,per square mile,CD,Stuyvesant Town and Turtle Bay (CD6),2005,1/1/2005,166778,375,313,163.51
Asthma emergency department visits due to PM2.5,Estimated annual rate (under age 18),"per 100,000 children",UHF42,Pelham - Throgs Neck,2005-2007,1/1/2005,826338,375,315,162.50
Annual vehicle miles traveled,Million miles,per square mile,CD,Clinton and Chelsea (CD4),2019,1/1/2019,550154,375,413,161.49
Boiler Emissions- Total NOx Emissions,Number per km2,number,Borough,Manhattan,2013,1/1/2013,741288,375,413,161.10
Asthma emergency department visits due to PM2.5,Estimated annual rate (under age 18),"per 100,000 children",UHF42,East Harlem,2017-2019,1/1/2017,603095,375,413,160.00
Asthma emergency departments visits due to Ozone,Estimated annual rate (under age 18),"per 100,000 children",UHF42,Crotona -Tremont,2005-2007,1/1/2005,741287,375,413,159.60
Asthma emergency departments visits due to Ozone,Estimated annual rate (under age 18),"per 100,000 children",UHF42,Crotona -Tremont,2017-2019,1/1/2017,547714,365,315,157.00
Annual vehicle miles traveled (cars),Million miles,per square mile,UHF42,Gramercy Park - Murray Hill,2010,1/1/2010,411129,365,413,156.11
Asthma emergency departments visits due to Ozone,Estimated annual rate (age 18+),"per 100,000 adults",UHF42,Central Harlem - Morningside Heights,2005-2007,1/1/2005,742555,365,413,156.10
Asthma emergency departments visits due to Ozone,Estimated annual rate (under age 18),"per 100,000 children",UHF42,Bedford Stuyvesant - Crown Heights,2005-2007,1/1/2005,826072,375,413,155.70
Asthma emergency departments visits due to Ozone,Estimated annual rate (age 18+),"per 100,000 adults",UHF42,East Harlem,2012-2014,1/2/2012,603049,375,315,154.90
Asthma emergency department visits due to PM2.5,Estimated annual rate (under age 18),"per 100,000 children",UHF42,Fordham - Bronx Pk,2015-2017,1/1/2015,826074,375,413,153.60
Asthma emergency department visits due to PM2.5,Estimated annual rate (under age 18),"per 100,000 children",UHF42,East New York,2009-2011,1/1/2009,643711,375,413,153.20
Asthma emergency department visits due to PM2.5,Estimated annual rate (under age 18),"per 100,000 children",UHF42,Rockaways,2005-2007,1/1/2005,603097,375,413,152.70
Asthma emergency department visits due to PM2.5,Estimated annual rate (under age 18),"per 100,000 children",UHF42,Northeast Bronx,2005-2007,1/1/2005,334347,365,413,152.60
Annual vehicle miles traveled,Million miles,per square mile,CD,East Harlem (CD11),2019,1/1/2019,547762,365,413,152.58
Asthma emergency department visits due to PM2.5,Estimated annual rate (under age 18),"per 100,000 children",UHF42,Union Square - Lower East Side,2009-2011,1/1/2009,742557,365,413,151.90
Annual vehicle miles traveled,Million miles,per square mile,CD,East Harlem (CD11),2010,1/1/2010,877201,375,313,151.59
Annual vehicle miles traveled,Million miles,per square mile,CD,Washington Heights and Inwood (CD12),2019,1/1/2019,877199,375,313,151.49
Asthma emergency departments visits due to Ozone,Estimated annual rate (under age 18),"per 100,000 children",UHF42,Fordham - Bronx Pk,2017-2019,1/1/2017,411130,365,413,150.00
Annual vehicle miles traveled,Million miles,per square mile,UHF42,East Harlem,2019,1/1/2019,606056,365,413,147.85
Annual vehicle miles traveled (cars),Million miles,per square mile,CD,Clinton and Chelsea (CD4),2019,1/1/2019,823563,365,413,147.43
Asthma emergency department visits due to PM2.5,Estimated annual rate (age 18+),"per 100,000 adults",UHF42,East Harlem,2009-2011,1/1/2009,742556,365,413,147.10
Asthma emergency department visits due to PM2.5,Estimated annual rate (under age 18),"per 100,000 children",UHF42,Hunts Point - Mott Haven,2017-2019,1/1/2017,336884,375,413,147.00
Asthma emergency department visits due to PM2.5,Estimated annual rate (under age 18),"per 100,000 children",Borough,Bronx,2015-2017,1/1/2015,643712,375,413,146.90
Asthma emergency departments visits due to Ozone,Estimated annual rate (age 18+),"per 100,000 adults",UHF42,Hunts Point - Mott Haven,2012-2014,1/2/2012,667844,375,413,146.80
Asthma emergency departments visits due to Ozone,Estimated annual rate (under age 18),"per 100,000 children",Borough,Bronx,2009-2011,1/1/2009,877255,375,413,146.70
Annual vehicle miles traveled,Million miles,per square mile,CD,Fort Greene and Brooklyn Heights (CD2),2019,1/1/2019,877253,375,413,146.12
Annual vehicle miles traveled,Million miles,per square mile,UHF42,East Harlem,2010,1/1/2010,172136,375,105106107,146.02
Asthma emergency departments visits due to Ozone,Estimated annual rate (under age 18),"per 100,000 children",UHF42,Williamsburg - Bushwick,2015-2017,1/1/2015,741091,375,408,145.30
Asthma emergency departments visits due to Ozone,Estimated annual rate (under age 18),"per 100,000 children",Borough,Bronx,2017-2019,1/1/2017,650002,365,313,145.00
Asthma emergency departments visits due to Ozone,Estimated annual rate (under age 18),"per 100,000 children",UHF42,Jamaica,2009-2011,1/1/2009,650008,365,315,144.70
Asthma emergency department visits due to PM2.5,Estimated annual rate (under age 18),"per 100,000 children",Borough,Manhattan,2009-2011,1/1/2009,176088,375,504,144.30
Asthma emergency departments visits due to Ozone,Estimated annual rate (under age 18),"per 100,000 children",UHF42,Union Square - Lower East Side,2009-2011,1/1/2009,168449,365,414,144.00
Asthma emergency departments visits due to Ozone,Estimated annual rate (under age 18),"per 100,000 children",UHF42,Bedford Stuyvesant - Crown Heights,2017-2019,1/1/2017,649985,365,307,144.00
Asthma emergency departments visits due to Ozone,Estimated annual rate (age 18+),"per 100,000 adults",UHF42,East Harlem,2005-2007,1/1/2005,178535,365,204,143.90
Annual vehicle miles traveled,Million miles,per square mile,UHF42,Upper West Side,2019,1/1/2019,178542,365,211,143.54
Annual vehicle miles traveled,Million miles,per square mile,CD,Upper West Side (CD7),2019,1/1/2019,178556,365,404,143.37
Annual vehicle miles traveled,Million miles,per square mile,UHF42,Washington Heights,2019,1/1/2019,178566,365,504,143.15
Asthma emergency departments visits due to Ozone,Estimated annual rate (under age 18),"per 100,000 children",UHF42,Northeast Bronx,2015-2017,1/1/2015,179786,640,211,143.00
Annual vehicle miles traveled,Million miles,per square mile,CD,Upper East Side (CD8),2010,1/1/2010,177233,365,204,143.00
Annual vehicle miles traveled,Million miles,per square mile,UHF42,Greenwich Village - SoHo,2019,1/1/2019,177779,365,204,142.88
Boiler Emissions- Total NOx Emissions,Number per km2,number,Borough,Manhattan,2015,1/1/2015,177240,365,211,142.80
Annual vehicle miles traveled (cars),Million miles,per square mile,CD,East Harlem (CD11),2010,1/1/2010,177786,365,211,142.54
Asthma emergency department visits due to PM2.5,Estimated annual rate (under age 18),"per 100,000 children",UHF42,East New York,2012-2014,1/2/2012,178584,365,211,141.58
Asthma emergency departments visits due to Ozone,Estimated annual rate (age 18+),"per 100,000 adults",UHF42,East Harlem,2015-2017,1/1/2015,547432,365,304,141.50
Annual vehicle miles traveled (cars),Million miles,per square mile,CD,East Harlem (CD11),2019,1/1/2019,177800,365,404,140.82
Asthma emergency department visits due to PM2.5,Estimated annual rate (under age 18),"per 100,000 children",UHF42,Northeast Bronx,2012-2014,1/2/2012,178598,365,404,139.92
Annual vehicle miles traveled (cars),Million miles,per square mile,CD,Washington Heights and Inwood (CD12),2019,1/1/2019,742257,365,404,139.48
Asthma emergency department visits due to PM2.5,Estimated annual rate (under age 18),"per 100,000 children",UHF42,Chelsea - Clinton,2005-2007,1/1/2005,742378,365,404406,139.10
Annual vehicle miles traveled,Million miles,per square mile,CD,Upper East Side (CD8),2005,1/1/2005,173663,365,404406,139.00
Annual vehicle miles traveled,Million miles,per square mile,CD,Lower East Side and Chinatown (CD3),2019,1/1/2019,173697,365,404406,138.98
Asthma emergency departments visits due to Ozone,Estimated annual rate (under age 18),"per 100,000 children",UHF42,Williamsburg - Bushwick,2005-2007,1/1/2005,410952,365,404406,138.70
Annual vehicle miles traveled,Million miles,per square mile,CD,Upper East Side (CD8),2019,1/1/2019,410951,365,404406,138.63
Asthma emergency departments visits due to Ozone,Estimated annual rate (age 18+),"per 100,000 adults",UHF42,Crotona -Tremont,2005-2007,1/1/2005,874806,365,314,138.60
Asthma emergency department visits due to PM2.5,Estimated annual rate (under age 18),"per 100,000 children",UHF42,Washington Heights,2009-2011,1/1/2009,214138,365,307,138.50
Annual vehicle miles traveled,Million miles,per square mile,CD,Midtown (CD5),2005,1/1/2005,334327,365,407,138.13
Asthma emergency department visits due to PM2.5,Estimated annual rate (age 18+),"per 100,000 adults",UHF42,Hunts Point - Mott Haven,2009-2011,1/1/2009,213961,365,307,138.10
Asthma emergency departments visits due to Ozone,Estimated annual rate (age 18+),"per 100,000 adults",UHF42,Crotona -Tremont,2012-2014,1/2/2012,649986,365,307,138.10
Asthma emergency department visits due to PM2.5,Estimated annual rate (under age 18),"per 100,000 children",UHF42,Central Harlem - Morningside Heights,2017-2019,1/1/2017,130428,640,404,138.00
Asthma emergency department visits due to PM2.5,Estimated annual rate (under age 18),"per 100,000 children",UHF42,High Bridge - Morrisania,2017-2019,1/1/2017,176718,375,504,138.00
Asthma emergency departments visits due to Ozone,Estimated annual rate (under age 18),"per 100,000 children",UHF42,Rockaways,2009-2011,1/1/2009,175374,375,504,137.40
Asthma emergency departments visits due to Ozone,Estimated annual rate (under age 18),"per 100,000 children",UHF42,East Flatbush - Flatbush,2012-2014,1/2/2012,175920,375,504,137.40
Asthma emergency department visits due to PM2.5,Estimated annual rate (age 18+),"per 100,000 adults",UHF42,Central Harlem - Morningside Heights,2009-2011,1/1/2009,177863,365,204,137.00
Asthma emergency departments visits due to Ozone,Estimated annual rate (under age 18),"per 100,000 children",UHF42,East New York,2005-2007,1/1/2005,823517,365,315,136.80
Annual vehicle miles traveled (cars),Million miles,per square mile,UHF42,East Harlem,2010,1/1/2010,606058,365,413,136.60
Asthma emergency departments visits due to Ozone,Estimated annual rate (age 18+),"per 100,000 adults",UHF42,Central Harlem - Morningside Heights,2012-2014,1/2/2012,165952,375,313,136.20
Asthma emergency departments visits due to Ozone,Estimated annual rate (under age 18),"per 100,000 children",Borough,Bronx,2005-2007,1/1/2005,550105,375,315,136.10
Annual vehicle miles traveled,Million miles,per square mile,UHF42,Chelsea - Clinton,2019,1/1/2019,172102,375,105106107,136.04
Asthma emergency departments visits due to Ozone,Estimated annual rate (under age 18),"per 100,000 children",UHF42,East New York,2017-2019,1/1/2017,336690,375,408,136.00
Annual vehicle miles traveled (cars),Million miles,per square mile,UHF42,East Harlem,2019,1/1/2019,741093,375,408,135.75
Asthma emergency departments visits due to Ozone,Estimated annual rate (under age 18),"per 100,000 children",Borough,Manhattan,2009-2011,1/1/2009,741120,375,105106107,135.70
Asthma emergency departments visits due to Ozone,Estimated annual rate (under age 18),"per 100,000 children",UHF42,Rockaways,2005-2007,1/1/2005,650056,365,413,135.20
Asthma emergency departments visits due to Ozone,Estimated annual rate (age 18+),"per 100,000 adults",UHF42,East Harlem,2009-2011,1/1/2009,823565,365,413,135.20
Annual vehicle miles traveled,Million miles,per square mile,CD,Lower East Side and Chinatown (CD3),2005,1/1/2005,742315,365,206,134.82
Asthma emergency departments visits due to Ozone,Estimated annual rate (age 18+),"per 100,000 adults",UHF42,High Bridge - Morrisania,2012-2014,1/2/2012,173686,365,401,134.50
Asthma emergency department visits due to PM2.5,Estimated annual rate (under age 18),"per 100,000 children",UHF42,Pelham - Throgs Neck,2012-2014,1/2/2012,742360,365,408,133.94
Asthma emergency departments visits due to Ozone,Estimated annual rate (under age 18),"per 100,000 children",UHF42,Jamaica,2012-2014,1/2/2012,874805,365,313,133.60
Annual vehicle miles traveled,Million miles,per square mile,CD,Morningside Heights and Hamilton Heights (CD9),2019,1/1/2019,669923,365,315,133.15
Annual vehicle miles traveled,Million miles,per square mile,UHF42,Greenwich Village - SoHo,2005,1/1/2005,874811,365,315,132.56
Boiler Emissions- Total NOx Emissions,Number per km2,number,UHF42,Greenwich Village - SoHo,2013,1/1/2013,606003,365,313,132.50
Annual vehicle miles traveled (cars),Million miles,per square mile,CD,Fort Greene and Brooklyn Heights (CD2),2019,1/1/2019,547713,365,315,132.24
Annual vehicle miles traveled (cars),Million miles,per square mile,UHF42,Washington Heights,2019,1/1/2019,742387,365,105106107,131.75
Asthma emergency department visits due to PM2.5,Estimated annual rate (age 18+),"per 100,000 adults",UHF42,Crotona -Tremont,2009-2011,1/1/2009,173176,365,401,131.30
Asthma emergency departments visits due to Ozone,Estimated annual rate (under age 18),"per 100,000 children",UHF42,Pelham - Throgs Neck,2015-2017,1/1/2015,172739,375,408,131.30
Asthma emergency department visits due to PM2.5,Estimated annual rate (age 18+),"per 100,000 adults",UHF42,Hunts Point - Mott Haven,2012-2014,1/2/2012,741119,375,105106107,130.59
Asthma emergency departments visits due to Ozone,Estimated annual rate (age 18+),"per 100,000 adults",UHF42,Central Harlem - Morningside Heights,2009-2011,1/1/2009,825856,375,105106107,130.40
Asthma emergency departments visits due to Ozone,Estimated annual rate (under age 18),"per 100,000 children",UHF42,Washington Heights,2009-2011,1/1/2009,172229,375,408,130.20
Asthma emergency departments visits due to Ozone,Estimated annual rate (age 18+),"per 100,000 adults",UHF42,Hunts Point - Mott Haven,2015-2017,1/1/2015,410890,365,206,130.10
Asthma emergency department visits due to PM2.5,Estimated annual rate (age 18+),"per 100,000 adults",UHF42,High Bridge - Morrisania,2009-2011,1/1/2009,742316,365,206,130.10
